Name	SMILES	H298	S298	300 K	400 K	500 K	600 K	800 K	1000 K	1500 K	Comment
1,2,3,4-Tetramethylbenzene	CC1=CC=C(C)C(C)=C1C	-12.16	103.829895488	41.92	52.8	63.24	72.36	87.0	97.66	113.7	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
1,2,3,4-Tetrahydroxybenzene	OC1=CC=C(O)C(O)=C1O	-148.6	97.2825734167	39.28	48.08	55.0	59.92	66.76	70.86	77.5	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,2-dihydroxy-4,5-diformylbenzene	O=CC1C=C(O)C(O)=CC=1C=O	-125.42	110.682573417	44.96	53.96	61.36	67.1	75.76	80.86	85.78	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1-methyl-2-hydroxy-3-methoxy-5-vinylbenzene	C=CC1=CC(C)=C(O)C(=C1)OC	-51.76	116.413661036	50.18	62.62	72.96	81.2	94.01	102.68	115.7	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-methyl-3,4,5-trivinylbenzene	C=CC1=CC(C)=CC(C=C)=C1C=C	58.1	122.166830518	54.79	68.22	79.92	89.46	104.16	114.64	129.78	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
1-hydroxy-2-vinyl-4,5-diformylbenzene	C=CC1=CC(C=O)=C(C=O)C=C1O	-67.89	119.35	49.91	60.28	68.98	75.91	86.54	93.22	100.19	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1-vinyl-2,4-dimethyl-3-ethylbenzene	C=CC1C=CC(C)=C(CC)C=1C	6.4	120.200491554	52.05	65.55	77.78	88.07	104.21	115.86	132.82	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
1,3-dimethoxy-2-hydroxy-5-methylbenzene	COC1=CC(C)=CC(OC)=C1O	-104.09	117.950491554	50.52	63.34	73.62	81.75	94.64	103.08	116.03	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3,4-trihydroxy-2-methoxybenzene	COC1=C(O)C=CC(O)=C1O	-143.4	107.486830518	44.57	55.12	63.28	69.28	78.17	83.62	92.24	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3-vinyl-2-hydroxy-4-methylbenzene	C=CC1C=CC(C)=C(C=C)C=1O	0.57	114.876830518	49.84	61.9	72.3	80.65	93.38	102.28	115.37	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-hydroxy-2-formyl-4-methyl-5-vinylbenzene	C=CC1=CC(O)=C(C=O)C=C1C	-45.37	114.286830518	47.73	58.52	67.86	75.43	87.1	94.92	105.1	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,2-dihydroxy-3-methoxy-5-ethylbenzene	CCC1=CC(O)=C(O)C(=C1)OC	-114.15	118.463661036	51.07	63.91	74.32	82.4	94.72	102.86	115.05	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,2-dihydroxy-3-methoxy-5,6-dimethylbenzene	COC1=CC(C)=C(C)C(O)=C1O	-117.28	118.130491554	50.85	62.84	72.96	81.03	93.67	102.12	115.12	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Cs) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-hydroxy-2,3-diformyl-4-methyl-6-vinylbenzene	C=CC1C=C(C)C(C=O)=C(C=O)C=1O	-75.88	128.356830518	55.53	66.82	76.6	84.55	96.98	105.02	114.02	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-(Cds-Cds)) + other(R) + group(Cb-(Cds-Od)) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,2,3,4,5-Pentahydroxybenzene	OC1=CC(O)=C(O)C(O)=C1O	-190.7	106.03	44.24	53.44	60.56	65.45	72.14	75.96	82.28	Thermo group additivity estimation: group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-Os) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
