Name	SMILES	H298	S298	300 K	400 K	500 K	600 K	800 K	1000 K	1500 K	Comment
1,2,3,4-Tetramethylbenzene	CC1=CC=C(C)C(C)=C1C	-9.16	99.0898954884	44.28	54.88	65.1	74.16	88.64	99.1	114.78	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs_oo_2_Cs_3_Cs) + group(Cb-Cs) + other(1_Cs_oo_2_Cs_3_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + ring(Benzene)
1,2,3,4-Tetrahydroxybenzene	OC1=CC=C(O)C(O)=C1O	-149.02	94.2225734167	37.74	47.1	54.96	60.96	69.22	73.76	79.74	Thermo group additivity estimation: group(Cb-Os) + other(1_OH_oo_2_OH_3_OH) + group(Cb-Os) + other(1_OH_oo_2_OH_3_OH) + group(Cb-Os) + other(1_OH_op_2_OH_3_OH) + group(Cb-Os) + other(1_OH_op_2_OH_3_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,2-dihydroxy-4,5-diformylbenzene	O=CC1C=C(O)C(O)=CC=1C=O	-123.3	110.482573417	43.94	53.52	61.64	68.02	77.3	82.38	86.78	Thermo group additivity estimation: group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-Os) + other(1_OH_op_2_OH_3_formyl) + group(Cb-Os) + other(1_OH_op_2_OH_3_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1-methyl-2-hydroxy-3-methoxy-5-vinylbenzene	C=CC1=CC(C)=C(O)C(=C1)OC	-52.48	115.073661036	49.53	62.26	73.01	81.68	95.01	103.83	116.58	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-(Cds-Cds)) + other(1_vinyl) + group(Cb-Os) + other(1_OH_o_2_methoxy) + group(Cb-Os) + other(1_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-methyl-3,4,5-trivinylbenzene	C=CC1=CC(C)=CC(C=C)=C1C=C	61.98	121.076830518	56.99	69.74	80.92	90.09	104.25	114.55	129.54	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-(Cds-Cds)) + other(1_vinyl_oo_2_vinyl_3_vinyl) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_vinyl) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_vinyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
1-hydroxy-2-vinyl-4,5-diformylbenzene	C=CC1=CC(C=O)=C(C=O)C=C1O	-63.33	119.89	50.53	61.09	69.91	76.9	87.36	93.74	100.24	Thermo group additivity estimation: group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Os) + group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-Os) + other(1_OH_p_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1-vinyl-2,4-dimethyl-3-ethylbenzene	C=CC1C=CC(C)=C(CC)C=1C	9.5	115.680491554	54.98	68.28	80.19	90.27	105.99	117.32	133.78	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs_oo_2_Cs_3_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Cs) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + ring(Benzene)
1,3-dimethoxy-2-hydroxy-5-methylbenzene	COC1=CC(C)=CC(OC)=C1O	-105.52	115.270491554	49.23	62.62	73.72	82.71	96.65	105.37	117.8	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_oo_2_methoxy_3_methoxy) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3,4-trihydroxy-2-methoxybenzene	COC1=C(O)C=CC(O)=C1O	-143.81	104.446830518	43.04	54.14	63.23	70.31	80.64	86.51	94.49	Thermo group additivity estimation: group(Cs-OsHHH) + other(R) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_oo_2_OH_3_methoxy) + group(Cb-Os) + other(1_OH_op_2_methoxy_3_OH) + group(Cb-Os) + other(1_OH_op_2_OH_3_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,3-vinyl-2-hydroxy-4-methylbenzene	C=CC1C=CC(C)=C(C=C)C=1O	2.91	111.936830518	52.4	64.53	74.71	82.85	95.08	103.64	116.19	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-(Cds-Cds)) + other(1_vinyl_oo_2_Cs_3_Os) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Os) + group(Cb-Os) + other(1_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-CdsHH) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-hydroxy-2-formyl-4-methyl-5-vinylbenzene	C=CC1=CC(O)=C(C=O)C=C1C	-50.82	107.836830518	46.6	57.71	67.26	75.0	86.98	95.09	105.77	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Cs) + group(Cb-(Cds-Od)) + other(1_formyl) + group(Cb-Os) + other(1_OH_o_2_formyl) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,2-dihydroxy-3-methoxy-5-ethylbenzene	CCC1=CC(O)=C(O)C(=C1)OC	-115.59	115.783661036	49.78	63.19	74.41	83.36	96.73	105.15	116.82	Thermo group additivity estimation: group(Cs-CbCsHH) + other(R) + group(Cs-CsHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_oo_2_OH_3_methoxy) + group(Cb-Os) + other(1_OH_o_2_OH) + group(Cb-H) + other(R) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1,2-dihydroxy-3-methoxy-5,6-dimethylbenzene	COC1=CC(C)=C(C)C(O)=C1O	-117.72	113.870491554	50.34	62.82	73.67	82.59	96.22	104.89	117.25	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cs-CbHHH) + other(R) + group(Cs-OsHHH) + other(R) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Cs) + other(1_Cs_o_2_Cs) + group(Cb-Os) + other(1_methoxy) + group(Cb-Os) + other(1_OH_o_2_OH) + group(Cb-Os) + other(1_OH_oo_2_OH_3_methoxy) + group(Cb-H) + other(R) + group(Os-CsCb) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
1-hydroxy-2,3-diformyl-4-methyl-6-vinylbenzene	C=CC1C=C(C)C(C=O)=C(C=O)C=1O	-74.83	123.426830518	55.0	66.44	76.31	84.32	96.77	104.78	113.92	Thermo group additivity estimation: group(Cs-CbHHH) + other(R) + group(Cb-Cs) + other(1_Cs_o_2_formyl) + group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-(Cds-Cds)) + other(1_vinyl_o_2_Os) + group(Cb-(Cds-Od)) + other(1_formyl_o) + group(Cb-Os) + other(1_OH_o_2_formyl) + group(Cb-H) + other(R) + group(Cds-CdsCbH) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-Od(Cds-Cds)H) + other(R) + group(Cds-CdsHH) + other(R) + group(Os-CbH) + other(R) + group(Od-Cd) + other(R) + group(Od-Cd) + other(R) + ring(Benzene)
1,2,3,4,5-Pentahydroxybenzene	OC1=CC(O)=C(O)C(O)=C1O	-190.08	102.59	42.47	52.2	60.37	66.55	75.06	79.45	85.0	Thermo group additivity estimation: group(Cb-Os) + other(1_OH_oop_2_OH_3_OH_4_OH) + group(Cb-Os) + other(1_OH_oo_2_OH_3_OH) + group(Cb-Os) + other(1_OH_oop_2_OH_3_OH_4_OH) + group(Cb-Os) + other(1_OH_op_2_OH_3_OH) + group(Cb-Os) + other(1_OH_op_2_OH_3_OH) + group(Cb-H) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + group(Os-CbH) + other(R) + ring(Benzene)
